Name,Score,Type,Episodes,Aired,Studios,Premiered
Sousou no Frieren,9.29,TV,28,"Sep 29, 2023 to Mar 22, 2024",Madhouse,Fall 2023
Fullmetal Alchemist: Brotherhood,9.10,TV,64,"Apr 5, 2009 to Jul 4, 2010",Bones,Spring 2009
Steins;Gate,9.07,TV,24,"Apr 6, 2011 to Sep 14, 2011",White Fox,Spring 2011
Shingeki no Kyojin Season 3 Part 2,9.05,TV,10,"Apr 29, 2019 to Jul 1, 2019",Wit Studio,Spring 2019
Gintama: The Final,9.05,Movie,1,"Jan 8, 2021",Bandai Namco Pictures,N/A
Gintama°,9.05,TV,51,"Apr 8, 2015 to Mar 30, 2016",Bandai Namco Pictures,Spring 2015
Hunter x Hunter (2011),9.03,TV,148,"Oct 2, 2011 to Sep 24, 2014",Madhouse,Fall 2011
One Piece Fan Letter,9.03,TV Special,1,"Oct 20, 2024",Toei Animation,N/A
Ginga Eiyuu Densetsu,9.02,OVA,110,"Jan 8, 1988 to Mar 17, 1997",K-Factory,N/A
Gintama',9.02,TV,51,"Apr 4, 2011 to Mar 26, 2012",Sunrise,Spring 2011
Gintama': Enchousen,9.02,TV,13,"Oct 4, 2012 to Mar 28, 2013",Sunrise,Fall 2012
Chainsaw Man Movie: Reze-hen,9.01,Movie,1,"Sep 19, 2025",MAPPA,N/A
Bleach: Sennen Kessen-hen,8.99,TV,13,"Oct 11, 2022 to Dec 27, 2022",Studio Pierrot,Fall 2022
Gintama.,8.98,TV,12,"Jan 9, 2017 to Mar 27, 2017",Bandai Namco Pictures,Winter 2017
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.97,TV,13,"Apr 9, 2022 to Jun 25, 2022",A-1 Pictures,Spring 2022
Fruits Basket: The Final,8.94,TV,13,"Apr 6, 2021 to Jun 29, 2021",TMS Entertainment,Spring 2021
Clannad: After Story,8.93,TV,24,"Oct 3, 2008 to Mar 27, 2009",Kyoto Animation,Fall 2008
Gintama,8.93,TV,201,"Apr 4, 2006 to Mar 25, 2010",Sunrise,Spring 2006
Koe no Katachi,8.93,Movie,1,"Sep 17, 2016",Kyoto Animation,N/A
Kusuriya no Hitorigoto 2nd Season,8.91,TV,24,"Jan 10, 2025 to Jul 4, 2025",OLM,Winter 2025
Code Geass: Hangyaku no Lelouch R2,8.91,TV,25,"Apr 6, 2008 to Sep 28, 2008",Sunrise,Spring 2008
3-gatsu no Lion 2nd Season,8.90,TV,22,"Oct 14, 2017 to Mar 31, 2018",Shaft,Fall 2017
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,Movie,1,"Jul 6, 2013",Sunrise,N/A
Monster,8.89,TV,74,"Apr 7, 2004 to Sep 28, 2005",Madhouse,Spring 2004
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV,14,"Jul 9, 2018 to Oct 8, 2018",Bandai Namco Pictures,Summer 2018
Kusuriya no Hitorigoto,8.86,TV,24,"Oct 22, 2023 to Mar 24, 2024",OLM,Fall 2023
Owarimonogatari 2nd Season,8.86,TV Special,7,"Aug 12, 2017 to Aug 13, 2017",Shaft,N/A
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,TV Special,2,"Mar 4, 2023 to Nov 5, 2023",MAPPA,N/A
Violet Evergarden Movie,8.84,Movie,1,"Sep 18, 2020",Kyoto Animation,N/A
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,Movie,1,"Nov 8, 2024",MAPPA,N/A
Takopii no Genzai,8.83,ONA,6,"Jun 28, 2025 to Aug 2, 2025",Enishiya,N/A
Kimi no Na wa.,8.83,Movie,1,"Aug 26, 2016",CoMix Wave Films,N/A
